iter	MAE	RMSE
0	0.6581072291	0.8098386895
1	0.6554517809	0.8066080169
2	0.6528030262	0.8034550231
3	0.6502329324	0.8003391507
4	0.6477336746	0.7973068995
5	0.6452308983	0.7942877521
6	0.6427449633	0.7913044125
7	0.6403279287	0.788399237
8	0.6379322805	0.785486923
9	0.6355588228	0.7826399297
10	0.6331705655	0.7797686952
11	0.6308345154	0.7769722081
12	0.6284936089	0.7741559
13	0.626172828	0.7713541817
14	0.623831436	0.768562052
15	0.6215448805	0.7657988561
16	0.6192695714	0.7631082378
17	0.6170258432	0.7604618914
18	0.6148920807	0.7579053167
19	0.6127576308	0.7553476436
20	0.6105965401	0.7527677609
21	0.6085210063	0.7502770996
22	0.6065435212	0.7479435225
23	0.6044682015	0.7454849109
24	0.60250638	0.7431576364
25	0.6005672626	0.7408448586
26	0.5986353392	0.7385516695
27	0.5967293692	0.7362962574
28	0.5948838182	0.7341061386
29	0.5930761679	0.7319624763
30	0.5912516547	0.7298171004
31	0.5894359278	0.72769951
32	0.5876851813	0.7256227975
33	0.5859429111	0.7235838497
34	0.5841860823	0.7215130924
35	0.5825123712	0.719552915
36	0.5808069362	0.7175680453
37	0.5791294239	0.7155856557
38	0.5774788386	0.7136456862
39	0.5758923779	0.7117585518
40	0.574323787	0.7099272713
41	0.5727191221	0.7080800007
42	0.5711702654	0.7062526666
43	0.5696534759	0.7044869334
44	0.5681150445	0.7026922411
45	0.5665533259	0.7008905743
46	0.565026298	0.6990979969
47	0.5635050991	0.6973470463
48	0.5620804143	0.6956851488
49	0.5606295142	0.6940177058
50	0.5591990764	0.6923523605
51	0.5577578	0.6906906814
52	0.5564068783	0.689128484
53	0.5550136152	0.6875287034
54	0.5536715106	0.6859734416
55	0.5523346705	0.6844344819
56	0.5510160724	0.6829306536
57	0.5497376371	0.6814680274
58	0.5484246702	0.6799403377
59	0.5471723668	0.6785069141
60	0.5459075416	0.6770580364
61	0.5446400452	0.675615084
62	0.5434360532	0.6742501303
63	0.5422258843	0.6728588404
64	0.5410304981	0.6715039154
65	0.5398400793	0.6701385296
66	0.5387272652	0.6688765023
67	0.5375994665	0.6676066001
68	0.5364642223	0.6663159674
69	0.5353515554	0.6650653429
70	0.5342171341	0.6637904775
71	0.533146899	0.6625830859
72	0.5320602495	0.6613532111
73	0.5310262351	0.6601871557
74	0.5299827083	0.6590222853
75	0.528975276	0.6579040565
76	0.5279387156	0.6567548851
77	0.5269355477	0.6556277376
78	0.5258784667	0.6544393798
79	0.5248524295	0.6532841213
80	0.523884243	0.6521837211
81	0.52287162	0.6510621563
82	0.5218737847	0.6499499882
83	0.520897999	0.64886143
84	0.5199325952	0.6477828032
85	0.5189728982	0.646724016
86	0.5180045502	0.6456510026
87	0.5170896785	0.6446110603
88	0.5161651391	0.6435813819
89	0.5152529079	0.642562965
90	0.5143327511	0.6415480721
91	0.5133806738	0.6405026714
92	0.5124947341	0.6395116242
93	0.5116109401	0.6385381869
94	0.5107279792	0.6375503324
95	0.5098741861	0.6365982599
96	0.5090717881	0.6357134166
97	0.5082180934	0.6347648671
98	0.5074214251	0.6338836595
99	0.5066140146	0.6329900899
100	0.505796133	0.6320849836
101	0.5050276355	0.6312417466
102	0.5042570787	0.6303956324
103	0.5034942095	0.6295522259
104	0.5027517447	0.6287298454
105	0.5020132234	0.6279296961
106	0.5013046741	0.6271547748
107	0.5006024689	0.6263900883
108	0.4999136034	0.6256264163
109	0.4991870576	0.6248234017
110	0.4984726665	0.6240319116
111	0.4977746358	0.6232774555
112	0.4970920925	0.622536859
113	0.4964131397	0.6217905041
114	0.4957815693	0.6211040667
115	0.4951359928	0.620391973
116	0.4944920864	0.6196910289
117	0.4938486163	0.618988798
118	0.4931962031	0.618277071
119	0.4926013189	0.6176430271
120	0.4919912403	0.6169730979
121	0.4914152376	0.6163500022
122	0.4908156252	0.6157084285
123	0.4902149073	0.615060721
124	0.4895922737	0.6143784758
125	0.488961381	0.6136895324
126	0.4883441769	0.613019294
127	0.4877743394	0.6123927119
128	0.4871778054	0.6117408604
129	0.4866304592	0.6111501346
130	0.486047594	0.6105228445
131	0.4855106756	0.6099368533
132	0.4849631982	0.6093488389
133	0.4843780164	0.6087131114
134	0.4838182245	0.608104209
135	0.4833054293	0.6075517857
136	0.4827636206	0.6069591437
137	0.4822143239	0.606372508
138	0.48168408	0.6057994816
139	0.4811435988	0.6052152991
140	0.4806462256	0.6046824629
141	0.4801213225	0.6041232139
142	0.4796378034	0.6036011644
143	0.4791259872	0.6030463614
144	0.4786292833	0.6025119069
145	0.4781748585	0.6020329948
146	0.4777336338	0.6015607553
147	0.4772807164	0.6010699547
148	0.4768219657	0.6005742334
149	0.4763651375	0.6000902104
