iter	Passed	Remaining
0	302	45060
1	528	39077
2	710	34820
3	925	33773
4	1110	32200
5	1298	31162
6	1487	30388
7	1673	29704
8	1852	29017
9	2024	28338
10	2203	27840
11	2380	27380
12	2557	26952
13	2739	26610
14	2909	26189
15	3095	25923
16	3271	25596
17	3444	25259
18	3624	24992
19	3806	24741
20	4025	24731
21	4243	24692
22	4421	24412
23	4683	24589
24	4884	24424
25	5137	24500
26	5421	24698
27	5681	24756
28	5853	24422
29	6031	24127
30	6212	23846
31	6389	23562
32	6567	23285
33	6753	23040
34	6931	22774
35	7110	22517
36	7302	22303
37	7496	22093
38	7677	21851
39	7857	21606
40	8031	21351
41	8210	21111
42	8397	20896
43	8571	20650
44	8750	20418
45	8933	20197
46	9109	19962
47	9295	19752
48	9479	19539
49	9659	19318
50	9840	19102
51	10015	18874
52	10198	18665
53	10393	18477
54	10575	18267
55	10758	18058
56	10933	17838
57	11119	17637
58	11308	17442
59	11482	17224
60	11653	17002
61	11831	16793
62	12009	16584
63	12180	16367
64	12365	16170
65	12546	15968
66	12733	15774
67	12918	15578
68	13097	15375
69	13282	15180
70	13464	14982
71	13639	14775
72	13828	14586
73	14007	14386
74	14190	14190
75	14375	13997
76	14558	13802
77	14742	13608
78	14934	13422
79	15115	13225
80	15290	13024
81	15467	12826
82	15647	12631
83	15826	12434
84	15996	12232
85	16177	12039
86	16363	11849
87	16541	11653
88	16715	11456
89	16902	11268
90	17088	11079
91	17268	10886
92	17455	10698
93	17628	10502
94	17803	10307
95	17981	10114
96	18152	9918
97	18337	9729
98	18532	9546
99	18712	9356
100	18883	9161
101	19070	8974
102	19247	8782
103	19437	8597
104	19616	8407
105	19797	8217
106	19968	8024
107	20149	7835
108	20338	7650
109	20522	7462
110	20704	7274
111	20879	7084
112	21061	6896
113	21236	6706
114	21423	6520
115	21635	6341
116	21831	6157
117	22034	5975
118	22235	5792
119	22413	5603
120	22589	5414
121	22773	5226
122	22958	5039
123	23179	4860
124	23446	4689
125	23631	4501
126	23867	4322
127	24107	4143
128	24353	3964
129	24647	3791
130	24928	3615
131	25123	3425
132	25307	3234
133	25501	3044
134	25684	2853
135	25854	2661
136	26032	2470
137	26215	2279
138	26396	2088
139	26583	1898
140	26755	1707
141	26932	1517
142	27116	1327
143	27311	1137
144	27489	947
145	27677	758
146	27858	568
147	28049	379
148	28239	189
149	28427	0
